"analysis","cancer_type","transition","gene","logFC","t","P.Value","adj.P.Val","n_early","n_late"
"stage","BLCA","E_L","CTB-176F20.3",-0.904731582335626,-4.51116258298806,8.43233867283954e-06,0.000521986324058494,132,273
"stage","BLCA","E_L","EVX1-AS",-0.808539561643725,-3.12549588708412,0.00190141838869803,0.0228313439667394,132,273
"stage","BLCA","E_L","ST7-AS1",0.373595853502192,3.10861418597552,0.00201077900938239,0.0233954871602593,132,273
"stage","BLCA","E_L","RP5-1136G13.2",0.282871486712469,3.01031787342679,0.00277112595670254,0.0287763828989176,132,273
"stage","BLCA","E_L","FAM225B",0.627227394942958,2.97689662406834,0.00308454463844366,0.0304915606429717,132,273
"stage","BLCA","E_L","RP11-999E24.3",0.543799082737575,3.27238368914196,0.0011568018014238,0.0162863044829833,132,273
"stage","BLCA","E_L","CTD-2537I9.13",-0.366918571281837,-2.85945262579171,0.0044605935536919,0.0390519340233588,132,273
"stage","BLCA","E_L","CTC-296K1.4",0.732800545417421,3.48005489698282,0.000555123734365645,0.00994232845594201,132,273
"stage","BLCA","E_L","ARHGAP31-AS1",0.550538228732903,3.7468955058071,0.000204716473413367,0.00502302524953468,132,273
"stage","BLCA","E_L","RP11-173A6.3",0.528391804551858,3.72028792294475,0.000226743309368685,0.00537440647038936,132,273
"stage","BLCA","E_L","DPH6-AS1",0.521256797994373,3.55954047388897,0.000415046978309858,0.00816771461019646,132,273
"stage","BLCA","E_L","SNHG5",0.360094067788592,3.04656504497359,0.00246441171833404,0.0266323544340641,132,273
"stage","BLCA","E_L","RP11-96C23.14",-0.790967091008283,-3.40313691509465,0.000731757330351072,0.0118118600970087,132,273
"stage","BLCA","E_L","ZFHX4-AS1",1.04322942883015,5.75952608001399,1.65770474425731e-08,3.64466394806365e-06,132,273
"stage","BLCA","E_L","ADAMTS9-AS1",1.22668754907814,5.36242059731971,1.37497798582339e-07,1.94819103057999e-05,132,273
"stage","BLCA","E_L","RP11-568J23.8",-0.718963426478555,-3.56092420915903,0.000412931400853655,0.00816771461019646,132,273
"stage","BLCA","E_L","RP11-395G23.3",-0.443216020338487,-2.77727825771067,0.00573330308498621,0.0467414429333096,132,273
"stage","BLCA","E_L","RP11-102K13.5",0.699720467000759,3.02700580961828,0.00262581220890877,0.0277188388145734,132,273
"stage","BLCA","E_L","AC104809.4",-0.445371870950443,-2.85891972635911,0.00446794443862028,0.0390519340233588,132,273
"stage","BLCA","E_L","LINC01134",-0.420432119986531,-2.75941190156956,0.00605021373497133,0.0484625160479613,132,273
"stage","BLCA","E_L","RP11-295H24.5",-0.33162374026543,-3.02119396104805,0.00267560730455074,0.0280598034855653,132,273
"stage","BLCA","E_L","RP1-137D17.1",0.570444878686923,3.55199652190081,0.000426760650343445,0.00829581069082259,132,273
"stage","BLCA","E_L","RP4-621F18.2",0.671946745991402,4.46022568481821,1.05885554735131e-05,0.000615234166183396,132,273
"stage","BLCA","E_L","RP3-402G11.28",-0.409750143229517,-3.75634381164562,0.00019739225604569,0.00491630087713796,132,273
"stage","BLCA","E_L","RP3-428L16.2",0.463711942989085,3.53345716684529,0.00045687657616179,0.00861123888257365,132,273
"stage","BLCA","E_L","CTC-429L19.3",-0.302538859247812,-2.84605448077298,0.00464878654093142,0.0401091515358305,132,273
"stage","BLCA","E_L","LA16c-358B7.4",-0.594058313456621,-3.98928728695469,7.84964081907223e-05,0.00255353621746962,132,273
"stage","BLCA","E_L","CTB-127C13.1",-0.723418762106192,-3.87147795843697,0.000125857552797381,0.00364758071198227,132,273
"stage","BLCA","E_L","RP11-323P17.2",0.486045636833136,3.93021675652445,9.9606738772207e-05,0.00303872041345259,132,273
"stage","BLCA","E_L","RP11-680F20.12",0.523446646653003,2.74484576655626,0.00632021348355506,0.0494929380522782,132,273
"stage","BLCA","E_L","RP11-332H18.3",-0.323860135784107,-2.78701134752125,0.00556705372295141,0.0458006897258557,132,273
"stage","BLCA","E_L","RP11-680F8.1",0.686536615809545,3.10780758619372,0.00201614645433821,0.0234152090944635,132,273
"stage","BLCA","E_L","RP11-757O6.1",-0.707287580930317,-4.58624941212253,6.00464013924865e-06,0.000411122500831099,132,273
"stage","BLCA","E_L","RP11-329B9.3",0.407539380350295,3.1175867508768,0.00195195301324309,0.0230902642160259,132,273
"stage","BLCA","E_L","CTD-2165H16.4",-0.39606205396008,-3.11207592966192,0.00198789227594716,0.0232952558649379,132,273
"stage","BLCA","E_L","RP11-93B14.6",-0.467590132082262,-3.60785536639129,0.00034688508465769,0.00715773236173926,132,273
"stage","BLCA","E_L","LINC00327",0.810271431371938,4.40661878751155,1.34247515535765e-05,0.00070160832709511,132,273
"stage","BLCA","E_L","MUC2",-1.52096879578781,-3.789395388957,0.000173668555151882,0.00450126303922115,132,273
"stage","BLCA","E_L","RP11-818F20.5",0.517055217714441,3.86651910247096,0.00012835057924307,0.00369821224463372,132,273
"stage","BLCA","E_L","LINC00989",0.421037468204875,3.24551813379709,0.0012686290189382,0.0171929571909488,132,273
"stage","BLCA","E_L","AC139100.4",-0.475153216638394,-3.48297811647916,0.000549271079146541,0.00986521802996717,132,273
"stage","BLCA","E_L","RP4-794H19.1",0.51360214680884,3.3972934823026,0.000747122332108448,0.0119991233993034,132,273
"stage","BLCA","E_L","RP11-120E11.2",-0.332077278451692,-2.97334535665868,0.00311968768575758,0.0307348663500036,132,273
"stage","BLCA","E_L","RP11-377D9.3",-0.516520090704998,-4.05004888757625,6.12518271971405e-05,0.002153532000503,132,273
"stage","BLCA","E_L","RP11-20G6.3",-1.28544802920689,-3.40831129938937,0.000718397996931115,0.0117148481545596,132,273
"stage","BLCA","E_L","RP11-44F21.5",-0.756184804126266,-3.8190286357651,0.000154711137396462,0.00419760941293551,132,273
"stage","BLCA","E_L","ZNF571-AS1",-0.501900389590762,-2.91533408836343,0.00374810825138422,0.0345808559367163,132,273
"stage","BLCA","E_L","RP11-561O23.8",-0.373190345745569,-3.57846342139514,0.000386977364777943,0.00778349425181125,132,273
"stage","BLCA","E_L","U47924.29",-0.412207747497478,-3.19121280627895,0.00152587474339231,0.0195754071707633,132,273
"stage","BLCA","E_L","AC016738.4",-1.04794195449458,-5.03792228889969,7.07070125749226e-07,7.15599860599534e-05,132,273
"stage","BLCA","E_L","KB-1980E6.3",0.508894894909616,3.77937502517196,0.000180560543386463,0.00460501609852834,132,273
"stage","BLCA","E_L","LINC01116",0.594400565343774,2.87500368292418,0.00425086523430691,0.0375915627377821,132,273
"stage","BLCA","E_L","AC007750.5",1.0822204360434,6.13888634494485,1.96436645089433e-09,7.58905600258523e-07,132,273
"stage","BLCA","E_L","RP11-365N19.2",-0.377686480127417,-2.88127807926038,0.00416881778043199,0.0370200308746996,132,273
"stage","BLCA","E_L","RP11-93H24.3",-0.432318189812043,-3.77584852333697,0.000183046874057028,0.00463137646423654,132,273
"stage","BLCA","E_L","RP5-1139B12.2",0.565768165928579,3.95835971804358,8.89542237728547e-05,0.00279395138313163,132,273
"stage","BLCA","E_L","LINC01579",0.726087005390188,3.20490898449226,0.00145679968746089,0.0190730078177631,132,273
"stage","BLCA","E_L","RP11-285F7.2",-0.415477937275593,-3.52212309639794,0.000476256547044678,0.00887898170747623,132,273
"stage","BLCA","E_L","CTA-228A9.3",-0.495126319196148,-2.75262470946062,0.00617469708589527,0.0489936222314337,132,273
"stage","BLCA","E_L","CTD-2600O9.2",-0.369484581884296,-2.74966187508591,0.00622976036688814,0.0490988283056598,132,273
"stage","BLCA","E_L","RP11-299L17.3",0.321402872127869,2.92039667999729,0.00368898581868792,0.0342871334984755,132,273
"stage","BLCA","E_L","RP11-277P12.20",-0.895587636470048,-4.26406832399409,2.49438658184294e-05,0.00112690935291782,132,273
"stage","BLCA","E_L","RP11-513M16.8",-0.358175527730679,-3.26005292081766,0.00120694198118959,0.0166665994883022,132,273
"stage","BLCA","E_L","RP11-65J21.3",0.66118950429243,4.4596832413109,1.06141402572418e-05,0.000615234166183396,132,273
"stage","BLCA","E_L","RP11-469N6.1",0.689390449847723,3.23454576200708,0.00131711806500717,0.017717183085413,132,273
"stage","BLCA","E_L","CTD-2006C1.12",-0.352876301388588,-3.06486518080895,0.00232170233605325,0.0256110278454593,132,273
"stage","BLCA","E_L","RP11-279O9.4",0.569699878284592,4.30694123969907,2.07401864394812e-05,0.000986861408493524,132,273
"stage","BLCA","E_L","RP11-686D22.8",-0.550930871567516,-3.51678957191661,0.000485640160135395,0.00900128389832348,132,273
"stage","BLCA","E_L","RP11-57H12.5",-0.4431583618199,-3.53048918157109,0.000461878842962013,0.00863618622500233,132,273
"stage","BLCA","E_L","RP11-245J9.6",-0.316260942957055,-3.03261954574641,0.00257852318854556,0.0274468511688923,132,273
"stage","BLCA","E_L","RP11-552M11.4",-0.582749926989163,-3.20653399091608,0.00144879896107055,0.0190464787129605,132,273
"stage","BLCA","E_L","BVES-AS1",0.762490512930521,3.92602617809608,0.000101292749068131,0.00306086525146163,132,273
"stage","BLCA","E_L","APCDD1L-AS1",1.17169468225968,4.81889786299245,2.03660076135868e-06,0.000177881732252369,132,273
"stage","BLCA","E_L","SSTR5-AS1",-1.76986524739526,-6.06255550279063,3.04329975065003e-09,9.24003771911648e-07,132,273
"stage","BLCA","E_L","AGAP2-AS1",0.440227424669454,2.90647998343627,0.00385359073578144,0.0351509220763125,132,273
"stage","BLCA","E_L","TEX41",1.01831190904632,4.56404730551278,6.6419892904814e-06,0.000432135956286831,132,273
"stage","BLCA","E_L","AC079767.4",0.587247023580945,3.10330548410245,0.00204634843492949,0.0236797053014708,132,273
"stage","BLCA","E_L","RP11-443C10.1",0.746461811597555,5.07786142915645,5.80611036524335e-07,6.16995994813193e-05,132,273
"stage","BLCA","E_L","NFIA-AS2",0.651182188739886,5.45191627153048,8.62667192125834e-08,1.33114737304946e-05,132,273
"stage","BLCA","E_L","MIR143HG",0.699358721644766,3.70393406170855,0.000241369968739056,0.00561669679080374,132,273
"stage","BLCA","E_L","RP11-488L18.10",-0.319025654335072,-3.11157280228275,0.00199120364592082,0.0232952558649379,132,273
"stage","BLCA","E_L","LINC01451",-0.856115682478367,-3.37018750438772,0.000822409309941848,0.0127273829130806,132,273
"stage","BLCA","E_L","HOXB-AS2",-0.494472288884425,-2.79979575592507,0.00535532092178728,0.0442873232131203,132,273
"stage","BLCA","E_L","RP11-247C2.2",0.740732124057344,4.19739249973134,3.31356017763631e-05,0.00140635527417922,132,273
"stage","BLCA","E_L","AC005009.1",-0.518310406260405,-4.45306095010812,1.09313017373843e-05,0.000615435062841236,132,273
"stage","BLCA","E_L","RP11-544L8__B.4",-0.449461693223444,-2.84340393612707,0.00468686075147845,0.0403285076267565,132,273
"stage","BLCA","E_L","RP11-354E11.2",0.569785224098658,3.42034319655012,0.000688208045826375,0.0114569569195534,132,273
"stage","BLCA","E_L","RP11-326N17.2",-0.419751214010334,-2.87131181117022,0.00429982638130638,0.0379718739712042,132,273
"stage","BLCA","E_L","RP11-508N22.12",-0.481696423637173,-3.68299769789788,0.000261393729659415,0.00588920996575416,132,273
"stage","BLCA","E_L","RP11-528I4.2",-0.332621250769348,-2.93307675045574,0.00354462046797367,0.0334326924612428,132,273
"stage","BLCA","E_L","RP11-262H14.4",-0.471819881097038,-3.63420580748676,0.000314288879190053,0.00662044648934517,132,273
"stage","BLCA","E_L","RP11-568N6.1",-0.526171282207847,-3.56487930415252,0.000406940104099018,0.00808302213001663,132,273
"stage","BLCA","E_L","LINC00189",0.483882979067596,3.26930582547091,0.00116913299830656,0.0163832791147311,132,273
"stage","BLCA","E_L","CTD-2649C14.2",-0.433604074078003,-3.09406853614019,0.00210962208351657,0.0241923568426288,132,273
"stage","BLCA","E_L","CTD-2619J13.13",-0.628692586088574,-2.79366895089495,0.00545586388521077,0.045060347321378,132,273
"stage","BLCA","E_L","RP11-68I3.10",0.32610251633944,2.75277360195555,0.00617194161192633,0.0489936222314337,132,273
"stage","BLCA","E_L","RP11-629O1.2",-0.5143614298541,-3.47565420777066,0.000564044508342813,0.0100738033198705,132,273
"stage","BLCA","E_L","RP11-1102P16.1",0.440542114314314,3.37637015924678,0.000804639832980461,0.0125459308514613,132,273
"stage","BLCA","E_L","AP001062.7",-0.372946491870162,-3.15553359218229,0.00172028530581501,0.0213811678555097,132,273
"stage","BLCA","E_L","RP3-495K2.2",0.430255987580412,3.80242010914144,0.000165080862416855,0.00438173966056003,132,273
"stage","BLCA","E_L","LINC00968",0.74744284984602,4.53480617026847,7.58109057210558e-06,0.000483370334877452,132,273
"stage","BLCA","E_L","RP11-473M20.5",-0.681374748598195,-3.01099606716329,0.00276507956222469,0.0287763828989176,132,273
"stage","BLCA","E_L","NR2F1-AS1",0.594775987374404,3.69131316244792,0.00025326049374089,0.00579081327183286,132,273
