dipeptide,count_lnc,count_proteome,log2_fold_change_lnc_over_proteome,fisher_p_two_sided,q_value_fdr_bh,category,peptide_fasta,peptide_set
YK,116,17477,-0.6051255041150502,1.4389465520988866e-06,2.8923548785907268e-06,sig_small,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
YL,178,30724,-0.803422082624835,3.772425657221423e-16,1.7147389351006467e-15,sig_small,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
YM,24,6153,-1.3485820976555878,6.32018910390534e-08,1.452917035380538e-07,depleted,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
YN,56,12295,-1.1417642551057507,1.2423330549840268e-11,3.8225632461046975e-11,depleted,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
YP,111,14857,-0.4341042948186634,0.001004292737830701,0.0015815633666625211,sig_small,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
YQ,85,14354,-0.76746337796348,9.99002757217548e-08,2.244950016219209e-07,sig_small,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
YR,149,18189,-0.3029170257683649,0.009337705586666831,0.0130142238141698,sig_small,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
YS,183,25277,-0.4820303458248161,2.2280495110830213e-06,4.4119792298673696e-06,sig_small,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
YT,82,16613,-1.0298466403776136,2.78426734097677e-13,9.943811932059891e-13,depleted,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
YV,61,17868,-1.5587168385557688,1.0808173186191994e-24,8.00605421199407e-24,depleted,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
YW,61,4224,0.5218491882856511,0.008822577669160107,0.012382565149698396,sig_small,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
YY,20,10741,-2.4094562821469685,4.838495319284365e-25,3.9497920973749916e-24,depleted,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
